"","Company...Maker.if.known.","Specific.Bean.Origin.or.Bar.Name","REF","Review.Date","Cocoa.Percent","Company.Location","Rating","Bean.Type","Broad.Bean.Origin","Amazon.Rating","Deliciousness.Rating"
"264","Brazen","Alta Verapaz, 2014",1514,2015,"70%","U.S.A.",3.5," ","Guatemala",-1,1
"265","Brazen","Ambolikapiky P.",1518,2015,"80%","U.S.A.",2.75," ","Madagascar",2,-1
"266","Brazen","Maya Mountain",1518,2015,"80%","U.S.A.",3.25,"Trinitario","Belize",1,1
"267","Brazen","Ambolikapkly P.",1518,2015,"60%","U.S.A.",3.25," ","Madagascar",-1,-1
"268","Breeze Mill","Jamaica",1149,2013,"70%","U.S.A.",3,"Trinitario","Jamaica",3,0
"269","Bright","Somia Plantation",1231,2014,"72%","Australia",3,"Trinitario","Madagascar",1,1
"270","Bright","Marabel Farms",1231,2014,"70%","Australia",3.5," ","Dominican Republic",2,0
"271","Bright","Camino Verde, Balao, Guayas",1231,2014,"72%","Australia",3.5," ","Ecuador",0,-1
"272","Bright","Gran Couva",1235,2014,"68%","Australia",2.75,"Trinitario","Trinidad",2,0
"273","Britarev","Ecuador",1638,2015,"70%","Russia",3.25," ","Ecuador",2,-1
"274","Bronx Grrl Chocolate","Dominican Republic",1181,2013,"68%","U.S.A.",2.75," ","Dominican Republic",5,-1
"275","Burnt Fork Bend","Trinidad",1299,2014,"72%","U.S.A.",3.25,"Trinitario","Trinidad",-1,0
"276","Burnt Fork Bend","Mindo",1299,2014,"72%","U.S.A.",3.5," ","Ecuador",2,0
"277","Burnt Fork Bend","Belize",1303,2014,"72%","U.S.A.",3.25,"Trinitario","Belize",0,1
"278","Burnt Fork Bend","Blend",1303,2014,"72%","U.S.A.",3.25,"Blend"," ",0,0
"279","Burnt Fork Bend","Ecuador, Bob Bar",1323,2014,"60%","U.S.A.",2.5," ","Ecuador",1,0
"280","Cacao Arabuco","Puerto Rico",1606,2015,"70%","Puerto Rico",2.5," ","Puerto Rico",5,-1
"281","Cacao Atlanta","Tumbes",1215,2014,"75%","U.S.A.",2.5,"Criollo","Peru",5,1
"282","Cacao Atlanta","Dominican Republic, ""Love Bar""",502,2010,"75%","U.S.A.",2.5," ","Dominican Republic",0,1
"283","Cacao Atlanta","Dominican Republic w/ nibs",502,2010,"75%","U.S.A.",2.75," ","Dominican Republic",5,0
"284","Cacao Atlanta","Patanemo",600,2010,"75%","U.S.A.",2.25," ","Venezuela",3,0
"285","Cacao Barry","Grand 'Anse",1716,2016,"65%","France",3.5,"Trinitario, Criollo","Haiti",1,0
"286","Cacao Barry","Santo Domingo",586,2010,"70%","France",3," ","Dominican Republic",5,-1
"287","Cacao Barry","Tanzania",300,2008,"75%","France",2," ","Tanzania",0,0
"288","Cacao Barry","Venezuela",141,2007,"72%","France",2," ","Venezuela",1,-1
"289","Cacao Barry","Mexico",147,2007,"66%","France",3," ","Mexico",1,-1
"290","Cacao de Origen","Chuao",1688,2015,"77%","Venezuela",3.5,"Trinitario","Venezuela",2,0
"291","Cacao de Origen","Rio Caribe",1692,2015,"75%","Venezuela",3.25,"Trinitario","Venezuela",4,1
"292","Cacao de Origen","Agua Fria; Sucre region",1391,2014,"75%","Venezuela",2.5," ","Venezuela",5,-1
"293","Cacao de Origen","Macuare; Miranda; Chloe formula",1391,2014,"74%","Venezuela",3.25," ","Venezuela",0,0
"294","Cacao de Origen","Chuao, Aragua region",1391,2014,"75%","Venezuela",3.5,"Trinitario","Venezuela",0,0
"295","Cacao de Origen","Chuao, Aragua region",1395,2014,"70%","Venezuela",3.75,"Trinitario","Venezuela",2,-1
"296","Cacao de Origin","Hacienda la Trinidad",1668,2015,"74%","Venezuela",3.25," ","Venezuela",4,1
"297","Cacao Hunters","Macondo",1816,2016,"71%","Colombia",3.75," ","Colombia",0,0
"298","Cacao Hunters","Perla Negra",1816,2016,"74%","Colombia",3.75," ","Colombia",-1,-1
"299","Cacao Hunters","Arhuacos",1662,2015,"72%","Colombia",3.75," ","Colombia",4,-1
"300","Cacao Hunters","Sierra Nevada",1430,2014,"64%","Colombia",3.5," ","Colombia",1,0
"301","Cacao Hunters","Tumaco",1430,2014,"70%","Colombia",3.5," ","Colombia",4,-1
"302","Cacao Hunters","Boyaca, Aprocampa Coop, Pauna",1434,2014,"69%","Colombia",2.75," ","Colombia",2,-1
"303","Cacao Hunters","Arauca",1434,2014,"70%","Colombia",3.25," ","Colombia",5,1
"304","Cacao Market","Jutiapa, lot 050916D",1860,2016,"70%","U.S.A.",3.5,"Trinitario","Honduras",3,1
"305","Cacao Prieto","Criollo, Dominican Republic",991,2012,"72%","U.S.A.",3.75,"Criollo","Dominican Republic",5,1
"306","Cacao Prieto","Dominican Republicm, rustic",641,2011,"72%","U.S.A.",3," ","Dominican Republic",1,-1
"307","Cacao Prieto","Dominican Republic",641,2011,"66%","U.S.A.",3.75," ","Dominican Republic",1,-1
"308","Cacao Prieto","Dominican Republic, rustic",647,2011,"65%","U.S.A.",3.25," ","Dominican Republic",2,0
"309","Cacao Sampaka","Mahali, Kasai",1908,2016,"70%","Spain",3.5,"Criollo","Congo",0,1
"310","Cacao Sampaka","Madagascar",508,2010,"71%","Spain",3.5,"Trinitario","Madagascar",2,1
"311","Cacao Sampaka","Ecuador",523,2010,"71%","Spain",3.75," ","Ecuador",5,1
"312","Cacao Sampaka","Papua",523,2010,"71%","Spain",4," ","Papua New Guinea",4,1
"313","Cacao Sampaka","Grenada",537,2010,"71%","Spain",3.25,"Trinitario","Grenada",0,-1
"314","Cacao Sampaka","Venezuela",537,2010,"71%","Spain",3.5," ","Venezuela",-1,1
"315","Cacao Sampaka","Venezuela",537,2010,"77%","Spain",3.5," ","Venezuela",1,0
"316","Cacao Sampaka","Porcelana, Tabasco, La Joya",336,2009,"70%","Spain",4,"Criollo","Mexico",-1,-1
"317","Cacao Sampaka","Xoconusco, Chiapas",346,2009,"70%","Spain",4,"Criollo","Mexico",4,1
"318","Cacao Store","Madagascar",1684,2015,"70%","Japan",3,"Trinitario","Madagascar",4,0
"319","Cacao Store","Peru",1684,2015,"70%","Japan",3.25," ","Peru",1,1
"320","Cacao Store","Vietnam",1684,2015,"70%","Japan",3.5,"Trinitario","Vietnam",4,0
"321","Cacaosuyo (Theobroma Inversiones)","Piura",1173,2013,"70%","Peru",3.25," ","Peru",3,1
"322","Cacaoyere (Ecuatoriana)","Amazonia",237,2008,"63%","Ecuador",3.5,"Forastero (Arriba)","Ecuador",0,1
"323","Cacaoyere (Ecuatoriana)","Esmeraldas",237,2008,"71%","Ecuador",3.5,"Forastero (Arriba)","Ecuador",0,-1
"324","Cacaoyere (Ecuatoriana)","Bolivar",245,2008,"82%","Ecuador",2.5,"Forastero (Arriba)","Ecuador",3,-1
"325","Cacaoyere (Ecuatoriana)","Pichincha",259,2008,"91%","Ecuador",1.5,"Forastero (Arriba)","Ecuador",4,1
"326","Callebaut","Grenade",296,2008,"60%","Belgium",2.75,"Trinitario","Grenada",2,1
"327","Callebaut","Baking",141,2007,"70%","Belgium",1," ","Ecuador",1,-1
"328","C-Amaro","Cuba",1442,2014,"75%","Italy",2.5," ","Cuba",-1,0
"329","C-Amaro","Dominican Republic",1442,2014,"72%","Italy",3," ","Dominican Republic",-1,-1
"330","C-Amaro","Lago di Como, Blu",1442,2014,"70%","Italy",3.5,"Blend"," ",3,-1
"331","C-Amaro","Ecuador",1185,2013,"100%","Italy",3.5," ","Ecuador",4,1
"332","C-Amaro","Venezuela",809,2012,"80%","Italy",3," ","Venezuela",1,1
"333","C-Amaro","Sao Tome",749,2011,"78%","Italy",2.25,"Forastero","Sao Tome",4,1
"334","C-Amaro","Trinidad",765,2011,"70%","Italy",2.5,"Trinitario","Trinidad",0,0
"335","Cao","Porcelana",1804,2016,"75%","U.S.A.",2.5,"Criollo","Venezuela",3,0
"336","Cao","Tanzania",1804,2016,"73%","U.S.A.",2.75," ","Tanzania",0,0
"337","Cao","Porcelana, Batch 5163",1804,2016,"70%","U.S.A.",3,"Criollo","Venezuela",4,1
"338","Cao","Bolivia",1808,2016,"75%","U.S.A.",3," ","Bolivia",3,0
"339","Cao","Brazil",1808,2016,"70%","U.S.A.",3.25,"Trinitario","Brazil",0,0
"340","Caoni (Tulicorp)","Esmeraldas",237,2008,"77%","Ecuador",2,"Forastero (Arriba)","Ecuador",-1,1
"341","Caoni (Tulicorp)","Manabi",237,2008,"77%","Ecuador",2.5,"Forastero (Arriba)","Ecuador",2,1
"342","Caoni (Tulicorp)","Los Rios",245,2008,"77%","Ecuador",2.75,"Forastero (Arriba)","Ecuador",3,1
"343","Caoni (Tulicorp)","Manabi",266,2008,"55%","Ecuador",3,"Forastero (Arriba)","Ecuador",3,0
"344","Caoni (Tulicorp)","Los Rios",269,2008,"55%","Ecuador",3.25,"Forastero (Arriba)","Ecuador",3,1
"345","Caoni (Tulicorp)","Esmeraldas",269,2008,"55%","Ecuador",3.5,"Forastero (Arriba)","Ecuador",-1,1
"346","Captain Pembleton","Saidor Estate, Madang P.",1263,2014,"70%","New Zealand",3.5,"Trinitario","Papua New Guinea",4,0
"347","Captain Pembleton","Kulili Estate",1263,2014,"70%","New Zealand",3.75," ","Papua New Guinea",2,0
"348","Caribeans","Antigua, Special Reserve",1582,2015,"72%","Costa Rica",3.5," ","Guatemala",3,0
"349","Caribeans","Talamanca, Raul-Kekoldo community",1586,2015,"72%","Costa Rica",3.25," ","Costa Rica",5,0
"350","Caribeans","Anselmo Paraiso Estate",1586,2015,"72%","Costa Rica",3.5," ","Costa Rica",2,1
"351","Caribeans","Costa Rica",841,2012,"72%","Costa Rica",3,"Forastero","Costa Rica",5,-1
"352","Caribeans","Costa Rica",845,2012,"80%","Costa Rica",2.75,"Forastero","Costa Rica",2,-1
"353","Carlotta Chocolat","Arauca",1884,2016,"65%","Colombia",3,"Trinitario","Colombia",4,1
"354","Carlotta Chocolat","Tumaco",1888,2016,"65%","Colombia",3.25,"Trinitario","Colombia",2,0
"355","Carlotta Chocolat","Cordoba",1888,2016,"65%","Colombia",3.25,"Trinitario","Colombia",5,-1
"356","Carlotta Chocolat","Huila",1888,2016,"65%","Colombia",3.5,"Trinitario","Colombia",-1,-1
"357","Carlotta Chocolat","Cesar",1888,2016,"65%","Colombia",3.5,"CCN51","Colombia",-1,0
"358","Castronovo","Maya Mtn, Batch 454, Heirloom",1724,2016,"72%","U.S.A.",4,"Trinitario","Belize",5,1
"359","Castronovo","the lost city, gracias a dias, batch 362",1570,2015,"72%","U.S.A.",3.5,"Trinitario","Honduras",0,0
"360","Castronovo","Duarte, Batch 360",1570,2015,"70%","U.S.A.",3.75,"Criollo, Trinitario","Domincan Republic",0,0
"361","Castronovo","Piaroa, Amazonas, Batch 350",1574,2015,"72%","U.S.A.",3.5," ","Venezuela",2,-1
"362","Castronovo","Sierra Nevada",1347,2014,"72%","U.S.A.",3.5,"Criollo, Trinitario","Colombia",-1,0
"363","Castronovo","Arauca",1371,2014,"76%","U.S.A.",3.5,"Criollo, Trinitario","Colombia",3,-1
"364","Castronovo","Elvesia P.",1407,2014,"70%","U.S.A.",2.75,"Trinitario","Dominican Republic",-1,-1
"365","Castronovo","Bolivia",1101,2013,"70%","U.S.A.",3,"Trinitario","Bolivia",5,0
"366","Castronovo","Conacado",1101,2013,"73%","U.S.A.",3.5,"Trinitario","Dominican Republic",2,0
"367","Castronovo","San Martin",1105,2013,"70%","U.S.A.",2.5,"Criollo","Peru",1,1
"368","Castronovo","Guaniamo, Amazonas",1105,2013,"70%","U.S.A.",3.25," ","Venezuela",4,1
"369","Castronovo","Nicaragua",1109,2013,"72%","U.S.A.",3.25,"Trinitario","Nicaragua",5,1
"370","Castronovo","Tumbes",1153,2013,"70%","U.S.A.",2.75,"Criollo","Peru",4,-1
"371","Castronovo","Guaniamo",1153,2013,"72%","U.S.A.",3," ","Venezuela",4,0
"372","Cello","Ecuador",1247,2014,"70%","U.S.A.",2.5," ","Ecuador",-1,-1
"373","Cello","Peru",1247,2014,"70%","U.S.A.",2.75," ","Peru",5,-1
"374","Cello","Venezuela",1251,2014,"70%","U.S.A.",2.75," ","Venezuela",-1,1
"375","Cello","Bolivia",1251,2014,"70%","U.S.A.",3," ","Bolivia",-1,-1
"376","Cemoi","Equateur",404,2009,"72%","France",2.75," ","Ecuador",4,0
"377","Chaleur B","Uganda",1426,2014,"70%","Canada",2.75,"Forastero","Uganda",1,-1
"378","Charm School","Maya Mtn",1900,2016,"70%","U.S.A.",3.25," ","Belize",1,-1
"379","Chchukululu (Tulicorp)","Arriba",486,2010,"55%","Ecuador",2.75,"Forastero (Arriba)","Ecuador",3,1
"380","Chchukululu (Tulicorp)","Los Rios",252,2008,"75%","Ecuador",3,"Forastero (Arriba)","Ecuador",1,1
"381","Chequessett","la Amistad",1235,2014,"70%","U.S.A.",3.5," ","Costa Rica",4,-1
"382","Chloe Chocolat","Blend No. 1",672,2011,"70%","France",3.5," "," ",2,1
"383","Chocablog","Ecuador",1454,2015,"70%","U.K.",3.25," ","Ecuador",1,-1
"384","Choco Del Sol","Maya Mountain w/ nibs",1407,2014,"75%","Germany",3,"Trinitario","Belize",4,1
"385","Choco Del Sol","Maya Mountain",1407,2014,"82%","Germany",3.25,"Trinitario","Belize",5,1
"386","Choco Dong","Mekong Delta, early 2014 Harvest",1696,2015,"70%","South Korea",2.75,"Trinitario","Vietnam",2,-1
"387","Choco Dong","Tawau, Oct. 2015 Harvest",1696,2015,"70%","South Korea",3.5,"Trinitario","Malaysia",-1,-1
"388","Chocolarder","Peru",1482,2015,"65%","U.K.",2.5,"Criollo","Peru",0,-1
"389","Chocolarder","Peru + nibs",1482,2015,"65%","U.K.",2.75,"Criollo","Peru",0,-1
"390","Chocolarder","Dominican Republic",1514,2015,"80%","U.K.",2.5," ","Dominican Republic",4,0
"391","Chocola'te","Madagascar",647,2011,"70%","U.S.A.",3.75,"Trinitario","Madagascar",4,0
"392","Chocola'te","Venezuela",647,2011,"68%","U.S.A.",3.75," ","Venezuela",0,-1
"393","Chocolate Alchemist-Philly","Tumbes, ""Zarumilla""",1772,2016,"90%","U.S.A.",2.5," ","Peru",4,-1
"394","Chocolate Alchemist-Philly","Philly Blend, 5 plantations",1772,2016,"80%","U.S.A.",2.5," "," ",0,1
"395","Chocolate Con Amor","Wild Bolivian",1760,2016,"70%","U.S.A.",2.5," ","Bolivia",3,0
"396","Chocolate Con Amor","Uganda",1760,2016,"70%","U.S.A.",2.75," ","Uganda",2,0
"397","Chocolate Con Amor","Dominican Republic",1764,2016,"60%","U.S.A.",3," ","Dominican Republic",3,-1
"398","Chocolate Con Amor","Dominican Republic",1764,2016,"75%","U.S.A.",3," ","Dominican Republic",1,0
"399","Chocolate Con Amor","Ocumare",1764,2016,"80%","U.S.A.",3,"Criollo (Ocumare)","Venezuela",2,1
"400","Chocolate Con Amor","Ecuador",1764,2016,"70%","U.S.A.",3.25," ","Ecuador",3,1
"401","Chocolate Con Amor","Nicaragua",1768,2016,"80%","U.S.A.",2.75," ","Nicaragua",2,0
"402","Chocolate Conspiracy","Peru",1259,2014,"74%","U.S.A.",2.75," ","Peru",4,1
"403","Chocolate Makers","Tres Hombres",1530,2015,"75%","Amsterdam",3.25,"Trinitario","Dominican Republic",1,0
"404","Chocolate Makers","Congo, Gorilla bar",1530,2015,"68%","Amsterdam",3.5,"Forastero","Congo",-1,-1
"405","Chocolate Makers","Peru, Awagum bar",1530,2015,"80%","Amsterdam",3.75,"Criollo","Peru",1,-1
"406","Chocolate Tree, The","Maranon",1582,2015,"69%","Scotland",3.75,"Forastero (Nacional)","Peru",1,0
"407","Chocolate Tree, The","Carenero Superior",1582,2015,"80%","Scotland",3.75,"Trinitario","Venezuela",2,0
"408","Chocolate Tree, The","Peru",1121,2013,"70%","Scotland",3.75,"Forastero (Nacional)","Peru",5,1
"409","Chocolate Tree, The","Ecuador",919,2012,"82%","Scotland",2.5,"Forastero (Arriba)","Ecuador",1,1
"410","Chocolate Tree, The","Peru",919,2012,"68%","Scotland",2.75,"Criollo","Peru",1,0
"411","Chocolate Tree, The","Madagascar",919,2012,"72%","Scotland",3.25,"Criollo","Madagascar",5,-1
"412","Chocolats Privilege","Xoconusco",1219,2014,"70%","Canada",2.5,"Criollo","Mexico",2,0
"413","ChocoReko","Patanemo",1454,2015,"77%","Japan",3,"Criollo","Venezuela",-1,-1
"414","Chocosol","Chiapas, Lacandon Jungle, Oaxacom Mtn",682,2011,"65%","Canada",3.25," ","Mexico",4,1
"415","Chocovic","Xoconusco",478,2010,"71%","Spain",3.25,"Criollo","Mexico",0,-1
"416","Chocovic","Sambirano",478,2010,"71%","Spain",3.5,"Trinitario","Madagascar",-1,-1
"417","Chocovic","Kendari",439,2009,"60%","Spain",3.25," "," ",4,1
"418","Chocovic","Tarakan",439,2009,"75%","Spain",3.25," "," ",4,0
"419","Chocovic","Ocumare",209,2008,"71%","Spain",3.5,"Criollo","Venezuela",5,-1
"420","Chocovic","Bolivar, Guaranda",117,2007,"71%","Spain",2.5,"Forastero (Arriba)","Ecuador",0,0
"421","Chocovic","Guyave",117,2007,"71%","Spain",2.5,"Trinitario","Grenada",5,1
"422","Chocovic","Maragda",117,2007,"70%","Spain",3,"Blend"," ",0,1
"423","Chocovivo","Tabasco",1522,2015,"65%","U.S.A.",2.5,"Trinitario","Mexico",4,0
"424","Chocovivo","Tabasco",1522,2015,"75%","U.S.A.",2.5,"Trinitario","Mexico",2,-1
"425","Choklat","Ocumare",377,2009,"80%","Canada",2.5,"Criollo","Venezuela",-1,-1
"426","Choklat","Porcelana, Tabasco",377,2009,"70%","Canada",2.75,"Criollo","Mexico",2,1
"427","Choklat","Brazilian",377,2009,"70%","Canada",3," ","Brazil",5,0
"428","Choklat","Brazilian",377,2009,"80%","Canada",3," ","Brazil",4,-1
"429","Choklat","Ocumare",377,2009,"70%","Canada",3,"Criollo","Venezuela",3,0
"430","Chokolat Elot (Girard)","Guadeloupe",1149,2013,"42%","Martinique",2.75," ","Martinique",0,-1
"431","Choocsol","Chiapas, Lacandon Jungle, Oaxacom Mtn",1832,2016,"75%","Canada",3.25," ","Mexico",1,1
"432","Christopher Morel (Felchlin)","Maranon Canyon, Fortunato No. 4",666,2011,"68%","Canada",3.75,"Forastero (Nacional)","Peru",0,0
"433","Chuao Chocolatier","Choroni",445,2009,"61%","U.S.A.",3,"Criollo","Venezuela",2,1
"434","Chuao Chocolatier (Pralus)","Chuao",486,2010,"77%","U.S.A.",2.75,"Trinitario","Venezuela",4,0
"435","Claudio Corallo","Terreiro Velho P.",470,2010,"73.50%","Sao Tome",3.75,"Forastero","Sao Tome & Principe",-1,-1
"436","Claudio Corallo","Terreiro Velho P. w/ sugar crystals",209,2008,"80%","Sao Tome",3,"Forastero","Sao Tome & Principe",0,0
"437","Claudio Corallo","Terreiro Velho P.",227,2008,"75%","Sao Tome",4,"Forastero","Sao Tome & Principe",4,-1
"438","Claudio Corallo","Principe",252,2008,"100%","Sao Tome",1,"Forastero","Sao Tome & Principe",4,1
"439","Cloudforest","Camino Verde P., Balao, Guayas, 2014",1486,2015,"73%","U.S.A.",3.5," ","Ecuador",5,-1
"440","Coleman & Davis","Sambirano",1646,2015,"75%","U.S.A.",3,"Trinitario","Madagascar",4,0
"441","Compania de Chocolate (Salgado)","Sur del Lago",579,2010,"70%","Argentina",3.25," ","Venezuela",-1,0
"442","Compania de Chocolate (Salgado)","Carenero Superior",292,2008,"80%","Argentina",2.75,"Trinitario","Venezuela",4,-1
"443","Compania de Chocolate (Salgado)","Moxos",292,2008,"72%","Argentina",3.25," ","Bolivia",4,-1
"444","Compania de Chocolate (Salgado)","Ocumare",292,2008,"70%","Argentina",3.75,"Criollo","Venezuela",2,0
"445","Compania de Chocolate (Salgado)","Esmeraldas",296,2008,"88%","Argentina",2.75,"Forastero (Nacional)","Ecuador",1,0
"446","Condor","Camino Verde",1630,2015,"76%","U.S.A.",3.5," ","Ecuador",-1,0
"447","Confluence","Tien Giang, 2015, batch 10-2-16",1916,2016,"78%","U.S.A.",2.75,"Trinitario","Vietnam",-1,1
"448","Coppeneur","Ecuador, Puristique",1169,2013,"65%","Germany",3.25,"Forastero (Nacional)","Ecuador",3,-1
"449","Coppeneur","Ghana Puristique",813,2012,"85%","Germany",3.5,"Forastero","Ghana",-1,1
"450","Coppeneur","Ecuador Puristique",817,2012,"100%","Germany",1.5," ","Ecuador",4,1
"451","Coppeneur","Uba Budo",821,2012,"72%","Germany",3.75,"Forastero","Sao Tome & Principe",5,1
"452","Coppeneur","Madagascar",959,2012,"70%","Germany",3.5,"Trinitario","Madagascar",5,-1
"453","Coppeneur","Grenada",470,2010,"72%","Germany",3.25,"Trinitario","Grenada",5,-1
"454","Coppeneur","Chuao",478,2010,"70%","Germany",3,"Trinitario","Venezuela",1,1
"455","Coppeneur","Los Rios, H. Iara",558,2010,"72%","Germany",2.5,"Nacional","Ecuador",1,0
"456","Coppeneur","Trinidad",558,2010,"72%","Germany",3,"Trinitario","Trinidad",3,1
"457","Coppeneur","Jamaica",558,2010,"72%","Germany",3.25,"Trinitario","Jamaica",0,-1
"458","Coppeneur","Ocumare 61",558,2010,"72%","Germany",3.25,"Criollo (Ocumare 61)","Venezuela",-1,-1
"459","Coppeneur","Porcelana, Apotequil",341,2009,"72%","Germany",3,"Criollo","Peru",4,1
"460","Coppeneur","Porcelana, Apotequil",445,2009,"62%","Germany",3.25,"Criollo","Peru",0,0
"461","Coppeneur","Chuao 100hr",451,2009,"70%","Germany",3.5,"Criollo, Trinitario","Venezuela",5,1
"462","Coppeneur","Chuao 70hr",451,2009,"70%","Germany",3.75,"Criollo, Trinitario","Venezuela",1,-1
"463","Coppeneur","Porcelana, Tabasco, Mexico",220,2008,"72%","Germany",3,"Criollo","Mexico",0,1
"464","Coppeneur","Porcelana, Venezuela",220,2008,"72%","Germany",3,"Criollo (Porcelana)","Venezuela",4,-1
"465","Coppeneur","Sambirano, Menava P.",196,2007,"72%","Germany",3,"Trinitario","Madagascar",2,1
"466","Cote d' Or (Kraft)","Sensations Intense",48,2006,"70%","Belgium",1," "," ",5,-1
"467","Cravve","New Ireland",1283,2014,"70%","Australia",2.5,"Forastero","Papua New Guinea",2,1
"468","Cravve","Vanuatu, batch 2410",1335,2014,"83%","Australia",2.75,"Trinitario","Vanuatu",3,-1
"469","Cravve","Tanzania, batch a1",971,2012,"75%","Australia",3.25,"Forastero","Tanzania",5,0
"470","Cravve","Bahia, batch a1213",975,2012,"65%","Australia",3.25,"Trinitario","Brazil",1,1
"471","Cravve","Namau Village, N. Taileva P., batch a2812",975,2012,"67%","Australia",3.25,"Trinitario","Fiji",0,1
"472","Cravve","Vanuatu",975,2012,"64%","Australia",3.25,"Trinitario","Vanuatu",5,-1
"473","Cravve","Djual Island",975,2012,"75%","Australia",3.5,"Forastero","Papua New Guinea",4,-1
"474","Creo","""heirloom"", Arriba Nacional",1736,2016,"85%","U.S.A.",3.25,"Forastero (Nacional)","Ecuador",2,-1
"475","Creo","""heirloom"", Arriba Nacional",1736,2016,"73%","U.S.A.",3.75,"Forastero (Nacional)","Ecuador",1,-1
"476","Daintree","Goodman Estate",1654,2015,"70%","Australia",2.75," ","Australia",0,-1
"477","Daintree","Daintree Estates, N. Queensland",785,2011,"70%","Australia",3.25," ","Australia",3,1
"478","Dalloway","Dominican Republic, batch 7",1928,2017,"72%","U.S.A.",2.75," ","Dominican Republic",-1,-1
"479","Damson","Robson Estate",1610,2015,"70%","U.K.",3,"Trinitario","Trinidad",2,-1
"480","Damson","Los Rios",1610,2015,"70%","U.K.",3.5," ","Ecuador",-1,0
"481","Damson","Crayfish Bay aka Non Pariel Estate",1666,2015,"70%","U.K.",2.25," ","Grenada",0,0
"482","Damson","O'Payo",1666,2015,"70%","U.K.",2.75," ","Nicaragua",2,0
"483","Dandelion","Zorzal Reserva, 2015 H., Kerchner",1816,2016,"70%","U.S.A.",3.75," "," ",0,-1
"484","Dandelion","Maya Mtn., Break Bar- Snark",1446,2015,"70%","U.S.A.",3,"Trinitario","Belize",0,-1
"485","Dandelion","Maya Mountain",1219,2014,"70%","U.S.A.",3.5,"Trinitario","Belize",4,1
"486","Dandelion","Camino Verde P., Balao, Guayas, 2013",1295,2014,"70%","U.S.A.",3.5," ","Ecuador",2,0
"487","Dandelion","Buto",1303,2014,"70%","U.S.A.",2.75," ","Liberia",5,0
"488","Dandelion","San Francisco de Macoris, Cibao region",1387,2014,"70%","U.S.A.",3.75," ","Dominican Republic",4,1
"489","Dandelion","Cumboto, farmer Jose Lugo",1026,2013,"70%","U.S.A.",2.75," ","Venezuela",0,-1
"490","Dandelion","Patanemo",1026,2013,"70%","U.S.A.",3.25," ","Venezuela",3,0
"491","Dandelion","Mantuano, 2012",1085,2013,"70%","U.S.A.",3.5," ","Venezuela",5,0
"492","Dandelion","Papua New Guinea",1153,2013,"70%","U.S.A.",3.5," ","Papua New Guinea",2,-1
"493","Dandelion","Upala",805,2012,"70%","U.S.A.",3," ","Costa Rica",4,1
"494","Dandelion","Colombian",805,2012,"70%","U.S.A.",3.25," ","Colombia",1,-1
"495","Dandelion","Elvesia, 2011",915,2012,"70%","U.S.A.",3.75," ","Dominican Republic",1,0
"496","Dandelion","Dominican Republic",654,2011,"70%","U.S.A.",3.25," ","Dominican Republic",4,0
"497","Dandelion","Madagascar",654,2011,"70%","U.S.A.",3.25,"Trinitario","Madagascar",4,1
"498","Dandelion","Tanzania",654,2011,"70%","U.S.A.",3.25," ","Tanzania",0,-1
"499","Danta","Los Ujuxtes",1223,2014,"82%","Guatemala",3.25," ","Guatemala",3,1
"500","Danta","Chuao",987,2012,"75%","Guatemala",3,"Trinitario","Venezuela",1,-1
"501","Danta","Los Ujuxtes",987,2012,"70%","Guatemala",3.75," ","Guatemala",1,0
"502","Danta","Sambirano",987,2012,"70%","Guatemala",3.75,"Trinitario","Madagascar",4,-1
"503","Danta","Las Acacias E.",987,2012,"70%","Guatemala",4,"Criollo","Guatemala",3,-1
"504","Danta","Oscuro, Finca Chimelb",991,2012,"70%","Guatemala",3.25," ","Guatemala",-1,0
"505","Danta","Los Ujuxtes",661,2011,"60%","Guatemala",3.5," ","Guatemala",0,1
"506","Danta","Las Acacias E.",423,2009,"75%","Guatemala",3,"Criollo","Guatemala",0,-1
"507","Danta","Las Acacias E.",423,2009,"60%","Guatemala",3.25,"Criollo","Guatemala",5,1
"508","DAR","Venezuela, batch 122",1920,2016,"72%","U.S.A.",2.75," ","Venezuela",5,1
"509","DAR","Vietnam",1920,2016,"72%","U.S.A.",3,"Trinitario","Vietnam",2,-1
"510","DAR","DUO, batch 002",1920,2016,"70%","U.S.A.",3.25," ","Ecuador, Costa Rica",-1,1
"511","Dark Forest","Bolivia",1708,2016,"75%","U.S.A.",3.25," ","Bolivia",5,1
"512","Dark Forest","Madagascar",1550,2015,"70%","U.S.A.",3,"Trinitario","Madagascar",2,1
"513","Dark Forest","Ocumare",1550,2015,"70%","U.S.A.",3.25," ","Venezuela",5,-1
"514","Dark Forest","Tanzania",1554,2015,"70%","U.S.A.",3," ","Tanzania",0,-1
"515","Dark Forest","Ecuador",1554,2015,"70%","U.S.A.",3.25," ","Ecuador",0,1
"516","Davis","Ghana",1093,2013,"70%","U.S.A.",2.5,"Forastero","Ghana",3,-1
"517","Davis","Rainforest",1093,2013,"70%","U.S.A.",2.75," ","Dominican Republic",5,-1
"518","Davis","Venezuela",1093,2013,"70%","U.S.A.",2.75," ","Venezuela",4,1
"519","Davis","West Africa",907,2012,"58%","U.S.A.",3.25,"Forastero","West Africa",-1,-1
"520","De Mendes","Nativo, Varzea",1462,2015,"72%","Brazil",3.5," ","Brazil",2,-1
